City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.24,light rain,-23.1203,-134.9692,People ThankYou
1,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
4,Tura,IN,72.7,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
7,Butaritari,KI,82.27,broken clouds,3.0707,172.7902,Isles Sunset Lodge
8,Busselton,AU,72.09,clear sky,-33.65,115.3333,Observatory Guest House
10,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
14,Tulum,MX,74.93,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
17,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Harper,LR,78.62,light rain,4.375,-7.7169,Screensaver
22,Tarauaca,BR,71.89,overcast clouds,-8.1614,-70.7656,Flat Temporada
23,Cravo Norte,CO,78.08,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
25,Vao,NC,76.86,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
26,Saint-Joseph,RE,73.76,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
28,Carnarvon,AU,75.22,clear sky,-24.8667,113.6333,Hospitality Carnarvon
29,Atuona,PF,78.8,broken clouds,-9.8,-139.0333,Villa Enata
30,Cap Malheureux,MU,81.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
31,Hobart,AU,83.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
33,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Meulaboh,ID,80.91,scattered clouds,4.1363,96.1285,Kost Pria
38,Kulhudhuffushi,MV,81.75,few clouds,6.6221,73.07,Haajy Guest House 1
48,Tezu,IN,74.44,overcast clouds,27.9167,96.1667,Circuit House
52,Hilo,US,77.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
60,Sampit,ID,86.4,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
65,Bengkulu,ID,82.69,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Champerico,GT,80.04,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
76,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
78,Acarau,BR,79.72,overcast clouds,-2.8856,-40.12,castelo pizzaria
80,Nuqui,CO,76.98,light rain,5.7125,-77.2708,Hotel Nuquimar
84,Alyangula,AU,89.74,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
93,Hobyo,SO,78.75,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
98,Bakel,SN,77.88,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
113,Faanui,PF,79.48,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Ahipara,NZ,71.06,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
124,Kirakira,SB,83.73,scattered clouds,-10.4544,161.9205,SanBiz Lodge
125,Isangel,VU,82.87,overcast clouds,-19.55,169.2667,Tanna Lodge
129,Sambava,MG,73.85,scattered clouds,-14.2667,50.1667,Melrose
134,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
138,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
142,Mahibadhoo,MV,81.61,scattered clouds,3.7833,72.9667,Omadhoo Inn
143,Saint-Philippe,RE,75.11,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
