City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.24,74,2,18.03,light rain
1,Georgetown,MY,5.4112,100.3354,79.9,87,40,3.44,scattered clouds
2,Cherskiy,RU,68.75,161.3,-34.65,100,62,4.07,broken clouds
3,Misratah,LY,32.3754,15.0925,57.24,52,0,13.49,clear sky
4,Tura,IN,25.5198,90.2201,72.7,54,10,2.39,clear sky
5,Albany,US,42.6001,-73.9662,35.31,81,100,4.23,overcast clouds
6,Gogrial,SS,8.5332,28.1004,76.48,65,82,4.41,broken clouds
7,Butaritari,KI,3.0707,172.7902,82.27,76,72,11.83,broken clouds
8,Busselton,AU,-33.65,115.3333,72.09,36,6,4.76,clear sky
9,Tuktoyaktuk,CA,69.4541,-133.0374,-8.5,94,100,5.32,overcast clouds
10,Vaini,TO,-21.2,-175.2,84.36,84,20,9.22,few clouds
11,Bredasdorp,ZA,-34.5322,20.0403,59.67,67,78,9.15,broken clouds
12,Treinta Y Tres,UY,-33.2333,-54.3833,54.52,83,54,5.84,broken clouds
13,Torbay,CA,47.6666,-52.7314,38.26,89,82,1.01,broken clouds
14,Tulum,MX,20.2167,-87.4667,74.93,93,26,2.21,scattered clouds
15,San Carlos De Bariloche,AR,-41.1456,-71.3082,43.25,91,92,6.64,overcast clouds
16,Hofn,IS,64.2539,-15.2082,28.29,94,100,6.67,snow
17,Kapaa,US,22.0752,-159.319,82.38,76,75,1.99,light rain
18,Provideniya,RU,64.3833,-173.3,-1.64,50,0,4.47,clear sky
19,Ilulissat,GL,69.2167,-51.1,27.01,67,90,11.05,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,57.9,73,75,8.01,light rain
21,Harper,LR,4.375,-7.7169,78.62,83,47,6.06,light rain
22,Tarauaca,BR,-8.1614,-70.7656,71.89,93,94,2.44,overcast clouds
23,Cravo Norte,CO,6.3017,-70.2041,78.08,61,99,5.57,overcast clouds
24,Constitucion,CL,-35.3333,-72.4167,52.14,87,80,10.07,broken clouds
25,Vao,NC,-22.6667,167.4833,76.86,78,54,16.22,broken clouds
26,Saint-Joseph,RE,-21.3667,55.6167,73.76,81,30,11.95,light rain
27,Ushuaia,AR,-54.8,-68.3,41.32,91,82,3.47,broken clouds
28,Carnarvon,AU,-24.8667,113.6333,75.22,51,0,22.77,clear sky
29,Atuona,PF,-9.8,-139.0333,78.8,76,63,21.03,broken clouds
30,Cap Malheureux,MU,-19.9842,57.6142,81.46,69,1,5.01,clear sky
31,Hobart,AU,-42.8794,147.3294,83.26,54,75,1.01,broken clouds
32,Minot,US,48.2325,-101.2963,45.12,45,75,14.97,broken clouds
33,Grand Gaube,MU,-20.0064,57.6608,82.38,68,1,5.01,clear sky
34,Meulaboh,ID,4.1363,96.1285,80.91,76,47,5.64,scattered clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,68.38,90,43,8.39,scattered clouds
36,Yerbogachen,RU,61.2767,108.0108,-18.42,97,94,3.8,overcast clouds
37,La Paz,BO,-16.5,-68.15,48.18,100,40,2.3,fog
38,Kulhudhuffushi,MV,6.6221,73.07,81.75,76,12,8.01,few clouds
39,Qaanaaq,GL,77.484,-69.3632,5.56,68,12,6.89,few clouds
40,Bluff,NZ,-46.6,168.3333,68.81,76,100,13.15,overcast clouds
41,Clyde River,CA,70.4692,-68.5914,7.03,85,100,18.41,light snow
42,Pisco,PE,-13.7,-76.2167,64.45,82,0,6.91,clear sky
43,Suoyarvi,RU,62.0833,32.35,9.95,94,65,7.29,broken clouds
44,Beringovskiy,RU,63.05,179.3167,-5.19,94,62,9.78,broken clouds
45,Ouegoa,NC,-20.35,164.4333,84.43,69,42,10.07,moderate rain
46,Khatanga,RU,71.9667,102.5,-40.88,100,92,1.23,overcast clouds
47,Bethel,US,41.3712,-73.414,42.19,76,90,4.61,overcast clouds
48,Tezu,IN,27.9167,96.1667,74.44,38,87,2.08,overcast clouds
49,Narsaq,GL,60.9167,-46.05,30.72,98,100,16.71,snow
50,Tilichiki,RU,60.4667,166.1,12.25,94,100,11.3,snow
51,Namibe,AO,-15.1961,12.1522,69.71,83,98,5.57,light rain
52,Hilo,US,19.7297,-155.09,77.29,81,90,0.0,overcast clouds
53,Mehamn,NO,71.0357,27.8492,32.72,60,100,23.11,overcast clouds
54,Barrow,US,71.2906,-156.7887,-11.18,70,90,9.22,overcast clouds
55,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.16,93,90,4.61,light snow
56,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,70,40,7.0,scattered clouds
57,Sorland,NO,67.667,12.6934,35.83,54,100,35.86,overcast clouds
58,Nikolskoye,RU,59.7035,30.7861,19.29,98,93,3.09,overcast clouds
59,Punta Arenas,CL,-53.15,-70.9167,44.71,70,20,9.22,few clouds
60,Sampit,ID,-2.5333,112.95,86.4,69,100,1.72,overcast clouds
61,Fortuna,US,40.5982,-124.1573,51.66,59,90,0.0,overcast clouds
62,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,93,76,5.61,broken clouds
63,Saskatoon,CA,52.1168,-106.6345,38.16,65,100,5.99,overcast clouds
64,Andenes,NO,69.3143,16.1194,33.78,55,100,24.16,overcast clouds
65,Bengkulu,ID,-3.8004,102.2655,82.69,67,52,6.51,broken clouds
66,Atar,MR,20.5169,-13.0499,68.88,14,100,9.44,overcast clouds
67,Arona,ES,28.0996,-16.681,61.79,64,20,1.99,few clouds
68,East London,ZA,-33.0153,27.9116,69.03,94,100,0.72,light rain
69,Tuatapere,NZ,-46.1333,167.6833,68.83,53,100,7.05,overcast clouds
70,Mayo,US,38.8876,-76.5119,52.12,76,90,3.0,overcast clouds
71,Yakymivka,UA,46.6897,35.1536,31.53,88,20,5.28,few clouds
72,Geelong,AU,-38.1471,144.3607,95.72,31,100,11.14,overcast clouds
73,Otradnoye,RU,59.7775,30.8181,19.45,99,90,2.98,overcast clouds
74,Yellowknife,CA,62.456,-114.3525,-0.58,97,100,6.53,overcast clouds
75,Champerico,GT,14.3,-91.9167,80.04,73,20,2.62,few clouds
76,Avarua,CK,-21.2078,-159.775,77.05,88,20,10.36,light rain
77,Jamestown,US,42.097,-79.2353,38.71,97,90,4.0,overcast clouds
78,Acarau,BR,-2.8856,-40.12,79.72,81,92,11.63,overcast clouds
79,Sovetskiy,RU,61.3614,63.5842,33.46,99,100,9.35,overcast clouds
80,Nuqui,CO,5.7125,-77.2708,76.98,91,100,2.39,light rain
81,Yilan,TW,24.757,121.753,66.9,74,93,5.44,overcast clouds
82,Kodiak,US,57.79,-152.4072,17.11,79,90,36.82,heavy snow
83,Kaitangata,NZ,-46.2817,169.8464,65.93,78,100,10.89,overcast clouds
